Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,latino_bin
6001400100,2014,8.93608,8.7,4,0,7.8,0,0.4,2.1,5,0
6001400200,2014,8.64746,6.5,1.8,0,6.9,1.8,1,1.8,4,0
6001400300,2014,8.64746,6.3,13.2,0.2,7.7,4.5,0.6,7,8.6,0
6001400400,2014,8.64746,6,16.7,0.4,10.7,5.3,0.7,3.3,7.2,0
6001400500,2014,8.64746,7.3,25.7,0,14.8,3.7,2.5,6.5,15.1,0
6001400600,2014,8.64746,8.3,36.5,0,13.6,9.8,2,12.2,8.3,0
6001400700,2014,8.64746,11.6,43.7,1.5,10.8,6.7,3.2,6.5,18.9,0
6001400800,2014,8.4463301,9.1,35.9,0,14.6,9.8,2.2,10.4,7.7,0
6001400900,2014,8.4463301,9.1,31,1,4.8,5.5,0.7,4.4,12,0
6001401000,2014,8.64746,11.3,41,0.2,20.6,13,5.8,7.3,29.7,0
6001401100,2014,8.64746,6.4,22.4,0.1,11,4.2,0.7,9.9,15.2,0
6001401200,2014,8.64746,6.7,11.5,0.2,15.2,3.7,0,8.5,7.9,0
6001401300,2014,8.64746,13.6,32.6,1.3,17.9,16.6,5.9,8.9,34.4,0
6001401400,2014,8.64746,13.6,44.8,1.2,19.9,18.8,7.8,12,41.7,0
6001401500,2014,8.4463301,11.9,36.1,0.2,10.2,12.8,3.6,9.4,22.9,0
6001401600,2014,8.4463301,11.5,47.1,0,12.1,20.9,4.6,6.4,40.2,0
6001401700,2014,8.4463301,8.7,28.9,0,33,16.6,9.9,6.1,22.8,0
6001401800,2014,8.6375999,11.5,50.7,0,19.7,13.3,4.1,11.8,31.8,0
6001402200,2014,8.6375999,12.5,38,0,27.2,22.2,16.7,12.2,26.6,0
6001402400,2014,8.4463301,16.2,58.8,1.1,11.1,23.1,2.9,14.1,29.5,0
6001402500,2014,8.6375999,14.5,61.8,0,19.4,16.9,4.5,15.4,49.7,0
6001402600,2014,8.6375999,18,29.5,0.5,3.3,26.1,0,5.9,34.9,0
6001402700,2014,8.6375999,12,53.6,0.2,12.4,28.4,3.4,6,25.3,0
6001402800,2014,8.6073399,15.8,41.3,0,9.9,23.4,1.7,10.2,42.2,0
6001402900,2014,8.6073399,13.5,13,2.7,10.1,21.5,1.6,3.7,26.5,0
6001403000,2014,8.6073399,22.2,3.7,2.6,1.9,44.2,0.2,4.7,30.2,0
6001403100,2014,8.6073399,9.9,16.2,1.1,12.1,29.5,6.1,4.3,27.6,0
6001403300,2014,8.6073399,9.9,7.8,0,6.2,22.9,1.7,5.9,21.7,0
6001403400,2014,8.6073399,9.6,19.9,0.9,11.3,11.9,3.1,5.9,15.9,0
6001403501,2014,8.64746,10.8,28.9,0.8,9.9,15.7,0,2.7,25.4,0
6001403502,2014,8.64746,7.3,21.3,0,11.3,4.9,0.1,9.2,19.8,0
6001403600,2014,8.64746,7.8,20.4,1.2,11.7,4.1,4.7,5.2,9.5,0
6001403701,2014,8.6073399,6.9,18.2,0,8.1,3,0.7,0.6,10.3,0
